Álbum,Título,Letra
Clics Modernos,Dos Cero Uno,"Él se cansó de hacer canciones de protesta y se vendió a Fiorucci
Él se cansó de andar haciendo apuestas y se puso a estudiar
Un día se cortará el pelo, no creo que pueda dejar de fumar
Anda volado, hace un poco de base, pero no le va mal

No se alquiló ni un guardaespaldas negro, no era Lennon ni Rucci (Ni Rucci)
Se preguntó por qué sus hijos nunca lo invitaban al bar
Un día volverá a las fuentes, no creo que pueda dejar de protestar
Anda ocupado, perdió algo de fama, pero no le va mal

Transas, transas
Transas, transas"
Clics Modernos,Nuevos Trapos,"Daría cualquier cosa por amar
Daría cualquier cosa por poderte dar un poco más
Más de lo que puedo dar
Pero a la vez quiero decirte que
Te encargues de tu vida porque yo no soy mejor que vos
Vos no sos mejor que yo

Y aunque cambiemos de color las trincheras
Y aunque cambiemos de lugar las banderas
Siempre es como la primera vez
Y mientras todo el mundo sigue bailando
Se ven dos pibes que aún siguen buscando
Encontrarse por primera vez

Ja, ja, ja!

Habiendo compartido aquel terror
Habiendo convivido en esta desolación total
Ya no es necesario más

Y aunque cambiemos de color, las trincheras
Y aunque cambiemos de lugar, las banderas
Siempre es como la primera vez
Y mientras todo el mundo sigue bailando
Se ven dos pibes que aún siguen buscando
Encontrarse por primera vez"
Clics Modernos,Bancate Ese Defecto,"Están pasando demasiadas cosas raras
Para que todo pueda seguir tan normal
Desconfío de tu cara de informado
Y de tu instinto de supervivencia
Hace tiempo que no leo ni veo nada
Porque me ofende que todo esté tan mal
Y hasta las personas lindas me dan rabia
Y los chicos y las chicas no hacen nada por cambiar

¡Ey!

Porque algún día se va a abrir esta trampa mortal
Pero hasta entonces llevarás en tu cara, una sombra
Y no presumas más de ser un humano normal
Y no te hagas más el gil que el defecto te nombra

Y yo te digo: “¡Hey, bancate ese defecto!""
No es culpa tuya, si la nariz no hace juego en tu cara
Y yo te digo: “Hey, bancate ese defecto!""
Aunque te arregles las gomas, nena, seguirás siendo rara
(Rara, rara)

(¡Ah, pri-pri-pri!)

Mutilado, desnutrido, deformado
Ojo de vidrio marca tu cicatriz
Marineros, maricones embolsados
Bailan la danza de la ""intelligentsia""
Están pasando demasiadas cosas raras
Para que todo pueda seguir tan normal
Todo el mundo lo conoce por la cara
Todo el mundo se da cuenta por la forma de bailar

(¡Ah!)
(¡Ah, ah, ah!)
(¡Sabor!)
(¡Pri-pri!)

Y yo te digo: “¡Hey, bancate ese defecto!""
No es culpa tuya, si la nariz no hace juego en tu cara
Y yo te digo “¡Hey, bancate ese defecto!""
Aunque te arregles las gomas, nena, seguirás siendo rara
(Rara, rara, rara)"
Clics Modernos,No Me Dejan Salir,"Ah-ah-ah-ah-ah-ah-ah
Ah-ah-ah-ah-ah-ah-ah (Gimme)
Ah-ah-ah-ah-ah-ah-ah
Ah-ah-ah-ah-ah-ah-ah

Estoy verde, no me dejan salir
Estoy verde, no me dejan salir
No puedo largar, no puedo salir
No puedo sentir amor, ese sentimiento
Tengo que volverte a ver
Tengo que volverte a ver
No puedo salir por amor, ese sentimiento

Ah-ah-ah-ah-ah-ah-ah-ah
Ah-ah-ah-ah-ah-ah-ah-ah

Estoy verde, no me dejan salir
Estoy verde, no me dejan salir
No puedo pensar, no puedo vivir
No puedo sentir, si amor es un pensamiento
Tengo que volverte a ver, sí
Tengo que volverte a ver
No puedo perder por amor, ese sentimiento

Tengo que confiar en mi amor
Tengo que confiar en mi sentimiento
Tengo que confiar en mi amor
Tengo que confiar en mi sentimiento

(Gimme)

Ya no sirve vivir para sufrir
¿Te das cuenta? Sacate el mocasín
No puedo calmar, no puedo parir
No puedo esperar mil años que cambie el viento

Tengo que volverte a ver
Tengo que volverte a ver
No puedo perder por amor, ese sentimiento

Tengo que confiar en mi amor (¡Wuh!)
Tengo que confiar en mi sentimiento
Tengo que confiar en mi amor
Tengo que confiar en mi sentimiento

Ah-ah (Gimme)
Ah-ah-ah-ah-ah-ah-ah
Ah-ah-ah-ah-ah-ah (Please, please)
Ah-ah-ah-ah-ah-ah-ah-ah
Ah-ah-ah-ah-ah-ah-ah-ah
Ah-ah-ah-ah-ah-ah-ah-ah (Gimme)
Ah-ah-ah-ah—"
Clics Modernos,Los Dinosaurios,"Los amigos del barrio pueden desaparecer
Los cantores de radio pueden desaparecer
Los que están en los diarios pueden desaparecer
La persona que amas puede desaparecer
Los que están en el aire pueden desaparecer en el aire
Los que están en la calle pueden desaparecer en la calle
Los amigos del barrio pueden desaparecer
Pero los dinosaurios van a desaparecer

No estoy tranquilo, mi amor, hoy es sábado a la noche, un amigo está en cana
Oh, mi amor, desaparece el mundo
Si los pesados, mi amor, llevan todo ese montón de equipaje en la mano
Oh, mi amor, yo quiero estar liviano

Cuando el mundo tira para abajo es mejor no estar atado a nada
Imaginen a los dinosaurios en la cama
Cuando el mundo tira para abajo es mejor no estar atado a nada
Imaginen a los dinosaurios en la cama

Los amigos del barrio pueden desaparecer
Los cantores de radio pueden desaparecer
Los que están en los diarios pueden desaparecer
La persona que amas puede desaparecer
Los que están en el aire pueden desaparecer en el aire
Los que están en la calle pueden desaparecer en la calle (¡Bah!)
Los amigos del barrio pueden desaparecer
Pero los dinosaurios van a desaparecer"
Clics Modernos,Plateado Sobre Plateado (Huellas en el Mar),"Ví la luna chorreando sin parar
Su luz de catedral, y un barco viejo
Cruzando el mar de Sudamérica a Europa
Sobre un espejo lleno de sal

Aeroplanos cortando el celofán
De un cielo tropical
Abriendo surcos van a llevar hacia el exilio o la vuelta
A los que ya no aguantaron más

Huellas en el mar
Sangre en nuestro hogar
¿Por qué tenemos que ir tan lejos
Para estar acá, para estar acá?

Nos quedamos por tener fe
Nos fuimos por amar
Ganamos algo y algo se fue
Algunos hijos son padres
Y algunas huellas ya son la piel

Huellas en el mar
Sangre en nuestro hogar
¿Por qué tenemos que ir tan lejos
Para estar acá, para estar acá?"
Clics Modernos,Ojos de Video Tape,"No tengo agua caliente en el calefón
No tengo que escribir canciones de amor
No ves que espero resucitar
Mientras miras esos ojos de videotape
Ya llega aquel examen del bien y el mal
Ya llegan las noticias cruzando el mar
No ves que el mundo gira al revés
Mientras miras esos ojos de videotape

Este mundo extrañará por siempre
La película que ví una vez
Y este mundo te dirá que siempre
Que es mejor mirar a la pared

Ya tienes las postales del Paraguay
Ya tienes la valija sobre el diván
Te vas, el mundo gira al revés
Mientras miras esos ojos de videotape

Este mundo extrañará por siempre
La película que ví una vez
Y este mundo te dirá que siempre
Que es mejor mirar a la pared

Uhhhhhh
Uhhhhhh
Uhhhhhh
Uhhhhhh"
Piano Bar,Demoliendo Hoteles,"Yo que crecí con Videla
Yo que nací sin poder
Yo que luché por la libertad, pero nunca la pude tener (Tener, tener)
Yo que viví entre fachistas
Yo que morí en el altar
Yo que nací con los que estaban bien
Pero a la noche estaba todo mal

Hoy paso el tiempo, demoliendo hoteles
Mientras los plomos juntan los cables, cazan rehénes
Hoy paso el tiempo, demoliendo hoteles
Mientras los chicos allá en la esquina, pegan carteles
(Gracias, chicos; ah-oh-uh)

Yo fui educado con odio y odiaba la humanidad
Un día me fui con los hippies
Y tuve un amor y también mucho más (Drogas, amor)
Ahora no estoy más tranquilo (Siempre tranquilo)
Y por qué tendría que estar (Wooh)
Todos crecimos sin entender y todavía me siento un anormal

Hoy paso el tiempo, demoliendo hoteles
Mientras los plomos juntan los cables, cazan rehénes
Hoy paso el tiempo, demoliendo hoteles
Mientras los chicos allá en la esquina pegan carteles"
Piano Bar,Promesas Sobre El Bidet,"Por favor, no hagas promesas sobre el bidet
Por favor, no me abrás más los sobres
Por favor, yo te prometo, te esperaré
Si es que paro de correr
Por favor, sigue la sombra de mí, bebe
Por favor, no bebas más, no llorés
Por favor, yo te prometo, te escribiré
Si es que para de llover

¿Por qué me tratas tan bien, me tratas tan mal?
Sabés que no aprendí a vivir
A veces estoy tan bien, estoy tan down
Calambres en el alma
Cada cual tiene un trip en el bocho
Difícil que lleguemos a ponernos de acuerdo (¡De acuerdo!)
(¡De acuerdo!)

(Uh-uh-uuh)

¿Por qué me tratas tan mal, me tratas tan bien?
Sabés que no aprendí a vivir
A veces estoy tan bien, estoy tan down
Calambres en el alma
Cada cual tiene un trip en el bocho
Difícil que lleguemos a ponernos ¡de acuerdo!

¡De acuerdo!
¡De acuerdo!
¡De acuerdo!
¡De acuerdo!"
Piano Bar,Raros Peinados Nuevos,"Y si vas a la derecha y cambiás hacia la izquierda, adelante
Es mejor que estarse quieto, es mejor que ser un vi-gi-lante

Si me gustan las canciones de amor
Y me gustan esos raros peinados nuevos
Ya no quiero criticar
Sólo quiero ser un en-fer-mero
(Uh-oh-uh-oh-oh)

Y si trabajás al pedo y estás haciendo algo nuevo, adelante
Y si cantas a la luna y perdés la vida en un ins-tante

Si luchaste por un mundo mejor
Y te gustan esos raros peinados nuevos
No quiero ver al doctor
Sólo quiero ver al en-fer-mero

Dame un poquito de amor, no quiero un ""toco""
Quiero algo de razón, no quiero un loco (Apagá el televisor)
Si lo que te gusta es gritar, desenchufa el cable del parlante
El silencio tiene acción, el más cuerdo es el más de-li-rante

Me gustaban las canciones de amor (Uuh-la-la)
Me gustaban esos raros peinados nuevos (Uuh-la-la)
De chiquito fui aviador, pero ahora soy un en-fer-mero

Do-do-do-do-ohh, do-do-do-ohh
Do-do-do-do-ohh, do-do-do-ohh"
Piano Bar,Piano Bar,"Rubias de New York, fantasmas de percal
Presten atención, se ha abierto un Piano Bar

¿Será que nací en el sur?
¿Será que encendí la luz de tu amor?

Viudas de Neón, amantes de Gardel
Suena un bandoneón cerca del cabaret

¿Será que nací en el sur?
¿Será que encendí la luz de tu amor?


Las chicas tienen un lugar donde viven esas cosas que asombran
Los chicos tienen un lugar donde ir a conversar
Usa tu rubor, escoge tu disfraz
Plumas de neón, sonrisa de zorzal

Coloca vitrina al sur
Reloca, titila luz, la ciudad"
Piano Bar,No Te Animás A Despegar,"Bah-bah-bah-bah
Bah-bah-bah
Bah-bah-bah-bah
Bah-bah-bah

¿Por qué te quedás en vía muerta?
¿Por qué te quedás en vía muerta?
No sé por qué vas hacia ese lugar
Donde todos han descarrilado
¿Por qué no te animás a despegar?
Yo te digo

¿Por qué te quedás en vía muerta?
¿Por qué te quedás en la puerta?
No sé por qué vas hacia ese lugar
Donde todos han descarrilado
¿Por qué no te animás a despegar?
Yo te digo por qué (Okey)"
Piano Bar,No Se Va A Llamar Mi Amor,"¡Aah-uh!
¡Mi amor!
No te puedo amar
¡Mi amor!
No te puedo amar

Estás prohibida, estás prohibida, ya
Estás prohibida, estás prohibida
Pásenlo en la radio
Por mi amor

Salí
Salí a pescar
Salí (Uh-uh)
Salí a pescar (Uh-uh)

Es un rock, es un blues
Es una mesa de luz
Es un mambo de xuxú
Un manual de Kapelusz
Es mi amor
No se va a llamar

Estás prohibida, estás prohibida, ya
Estás prohibida, estás prohibida
Pásenlo en la radio
Por mi amor
Por mi amor
Por mi amor
Por mi amor"
Piano Bar,Tuve Tu Amor,"Tuve tu amor, tuve tu amor en mí ya
Tuve tu amor
Tú ves tu amor, tú ves tu amor en mí ya
Tuve tu amor

El exilio te vistió de actriz porque
Alguien se confundió, alguien te descubrió
Cansado de esperar, cómo volverte a ver
Alguien se suicidó, alguien te traicionó
Los sitios girarán por siempre
Sitios para transgredir
Hay algo en tu nariz que escondes muy bien
Te encuentro feliz-triste

Susana se escapó, Miguel también
Ana se quedó, Ana se quedó
Te veo bien, te veo muy bien
Te ves muy bien, te ves muy bien
Te ves muy bien así, fumando té
Te tengo que abrazar como si fuera un bebé
Nadie podrá cortar esto otra vez
No importa dónde estés, no importa dónde estés

Yo me pude despedir en septiembre
Pero antes de partir, tuve tu amor

Tuve tu amor, tuve tu amor en mí ya
Tuve tu amor
Tú ves tu amor, tú ves tu amor en mí ya
Tuve tu amor


Tuve tu amor, tuve tu amor en mí ya
Tuve, tuve tu amor
¡Tuve tu amor! Yeah; tuve, tuve tu amor
¡Tuve tu amor!

Tú ves tu amor
Tuve tu amor
(¡Uh-ehh!)"
Piano Bar,Rap Del Exilio,"Tuve un amor en Paraguay
Una flor que se quemó mal
No acabé a decir que sí
Que ya se sacó el toque y me lo dejó a mí

Uh-oh-oh-oh
Uh-oh-oh-oh
Uh-oh-oh-oh
Uh-oh-oh-oh

Sí, me exilé en Madrid, y me fui a New York, sólo porque seguí a Perón
Tenía un sólido futuro artístico y me comí el bajón
Yo tenía tres libros y una foto del Ché
Ahora tengo mil años y muy poco que hacer

Vamo' a baila'
Vamo' a baila'
Vamo' a baila'
Vamo' a baila'
Vamo' a baila'"
Piano Bar,Cerca De La Revolución,"¿Por qué no vienes hasta mí? ¿Por qué no puedo amarte?
¿Por qué no vienes hasta mí?
¿Por qué no cambias como el sol? ¿Por qué eres tan distante?
¿Por qué no cambias como el sol?

Me siento solo y confundido a la vez
Los analistas no podrán entender
Ya no sé bien qué decir, ya no sé más qué hacer
Todo el mundo loco y yo sin poderte ver

Pero si insisto, yo sé muy bien que conseguiré
Pero si insisto, yo sé muy bien que conseguiré

Cerca de la revolución, el pueblo pide sangre
Cerca de la revolución, yo estoy cantando esta canción
Que alguna vez fue hambre, estoy cantando esta canción

Y si mañana es como ayer otra vez
Lo que fue hermoso será horrible después
No es sólo una cuestión de elecciones
No elegí este mundo, pero aprendí a querer

Pero si insisto, yo sé muy bien que conseguiré (Seguiré)
Pero si insisto, yo sé muy bien que conseguiré (Seguiré)
Yeah, yeah, yeah


Si estas palabras te pudieran dar fe
Si esta armonía te ayudara a creer
Yo sería tan feliz, tan feliz en el mundo
Que moriría arrodillado a tus pies

Pero si insisto, yo sé muy bien que conseguiré (Seguiré)
Pero si insisto, yo sé muy bien que conseguiré (Seguiré)
Yeah, yeah, yeah

(Seguiré)

Pero si insisto, yo sé muy bien que conseguiré (Seguiré)
(Seguiré)"
Piano Bar,Total Interferencia,"Tiene manos de marfil y teclados de Taiwán
Un chico conectado con la ciencia
Busca aliados de jazmín y una daga de metal
Y tiene apuro y a la vez paciencia

Tiene un radio para vivir, para vivir
Estamos como el amor que se echa a perder
Violando todo lo que amamos
Para vivir, para vivir

Tiene agujeros que no ves, picaduras de escorpión
Que oculta un maquillaje de inocencia
Todo lo que ves o es como la imaginación
Se junta con total interferencia

En la radio suena un violín
Pienso que estamos como el amor que se echa a perder
Violamos todo lo que amamos
Para vivir

(Chau loco, este tema se va en fade out)"
Piano Bar,Canción Para Mi Muerte (Bonus Track),"Hubo un tiempo que fui hermoso y fui libre de verdad
Guardaba todos mis sueños en cajitas de cristal
Poco a poco fui creciendo y mis fábulas de amor
Se fueron desvaneciendo como pompas de jabón

Te encontraré una mañana dentro de mi habitación
Y prepararás la cama

Es larga la carretera cuando uno mira atrás
Vas cruzando las fronteras sin darte cuenta, quizás
Tómate del pasamanos porque antes de llegar
Se aferraron mil ancianos, pero se fueron igual

Te encontraré una mañana dentro de mi habitación
Y prepararás la cama para dos


Quisiera saber tu nombre, tu lugar, tu dirección
Y si te han puesto (Teléfono), también tu numeración
Te suplico que me avises si me vienes a buscar
No es porque te tenga miedo, es que me quiero matar

Te encontraré una mañana dentro de mi habitación
Y prepararás la cama para dos"
Parte de la Religión,Necesito Tu Amor,"Voy a cambiar
Voy a insistir
Voy a pelear
Voy a seguir

Yo necesito tu amor
Tu amor me salva y me sirve
Yo necesito tu amor
Cada día un poco más

Yo tengo el vicio de dejarme llevar
Y poner mi cabeza en Marte
Tengo prejuicios que no puedo sacar
Tengo un cuerpo que quiere amarte

Yo ví tu amor, oooh
Yo ví tu amor, oooh


Dentro del mal
Cerca del fin
Cerca de vos
Dentro de mí

Yo necesito tu amor
Tu amor me salva y me sirve
Yo necesito tu amor
Cada día un poco más

No tengo nadie que yo quiera escuchar
Ni pasiones para abrigarme
No tengo máscara, no tengo disfraz
Ni señales para guiarme

Al menos hoy, oooh
Al menos hoy, oooh"
Parte de la Religión,Buscando un Símbolo de Paz,"Estás buscando un viejo camisón, estás buscando alguna religión
Estás buscando un símbolo de paz
Estás buscando algún incienso ya, estás buscando un sueño en un placard
Estás buscando un símbolo de paz

Y damos vueltas a la heladera
Y sólo queda un limón sin exprimir
Nos divertimos en primavera
Y en invierno nos queremos morir

Estás buscando un porro de papá, estás buscando un saco de mamá
Porque si nada queda, nada va
Estás buscando algún incienso ya, estás buscando un sueño en el placard
Estás buscando un símbolo de paz

Y damos vuelta a la discoteca
Y ya no quedan ganas de sonreir
Nos divertimos en primavera
Y en invierno nos queremos morir

¿Será porque nos queremos sentir bien
Y ahora estamos bailando entre la gente?
¿Será porque nos queremos sentir bien
Que ahora todo será diferente?

Estás buscando un símbolo de paz
(La-la-la-la-la-la-la, la-la-la-la-la-la-la)
Estás buscando un símbolo de paz

Y damos vueltas a la heladera
Y solo queda un limón sin exprimir
Nos divertimos en primavera
Y en invierno nos queremos morir

¿Será porque nos queremos sentir bien
Y ahora estamos bailando entre la gente?
¿Será porque nos queremos sentir bien
Que ahora todo será diferente?"
